feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
zero-poss,25,CTX1t,ZS,0.020979020979020935,-0.10000000000000009,-0.02898550724637683
zero-poss,25,CTX1t,ZScot,0.09722222222222221,0.0,0.040935672514619936
zero-poss,25,CTX2t,FS,-0.026397515527950277,0.09999999999999998,-0.011164274322169099
zero-poss,25,CTX2t,FScot,-0.09722222222222221,0.0,-0.040935672514619936
zero-poss,25,CTX2t,ZS,0.2272727272727273,0.10000000000000009,0.1785714285714285
zero-poss,25,CTX2t,ZScot,-0.09722222222222221,0.0,-0.040935672514619936
zero-poss,25,noCTX,FS,0.015000000000000013,0.0,0.015126050420168125
zero-poss,25,noCTX,FScot,0.07272727272727275,0.0,0.03809523809523818
zero-poss,25,noCTX,ZS,0.15897435897435896,0.09999999999999998,0.14260869565217393
zero-poss,25,noCTX,ZScot,0.0888888888888888,0.0,0.042105263157894646
zero-rel-pronoun,25,CTX1t,FS,-0.0010570824524312877,0.0,-0.0017730496453900735
zero-rel-pronoun,25,CTX1t,FScot,-0.021367521367521375,-0.25,-0.039534883720930225
zero-rel-pronoun,25,CTX1t,ZS,0.02065527065527066,0.25,0.03817733990147783
zero-rel-pronoun,25,CTX1t,ZScot,-0.02439024390243902,-0.25,-0.04444444444444444
zero-rel-pronoun,25,CTX2t,FS,-0.006511627906976743,0.0,-0.011032308904649332
zero-rel-pronoun,25,CTX2t,FScot,-0.021198156682027652,-0.25,-0.03956043956043957
zero-rel-pronoun,25,CTX2t,ZS,-0.0026052974381241822,0.0,-0.004439511653718087
zero-rel-pronoun,25,CTX2t,ZScot,-0.011111111111111113,-0.25,-0.022448979591836726
zero-rel-pronoun,25,noCTX,FS,0.002962962962962966,0.0,0.005108556832694761
zero-rel-pronoun,25,noCTX,FScot,0.03267973856209151,0.25,0.05789473684210525
zero-rel-pronoun,25,noCTX,ZS,-0.018055555555555554,-0.25,-0.03375196232339091
zero-rel-pronoun,25,noCTX,ZScot,0.01076555023923445,0.0,0.01785714285714285
